Course,Location,CRN,Course Title,Instructor,Days,Start Time,End Time,Est Enroll,Act Enroll
CHEM 23201 03,1144 331,11637,Chemistry Seminar,"Miller,Thurston",R,11:00 AM,11:50 AM,20,17
CHEM 23201 04,1144 331,12551,Chemistry Seminar,"Miller,Thurston",R,12:30 PM,1:20 PM,24,21
EALK 11111 01,1144 331,13121,First Year Korean I Drill,"Kang,Hana",MWF,9:25 AM,10:15 AM,15,13
JED 30100 01,1144 331,11646,Fundamentals of Journalism,"Coyne,Thomas",MW,11:00 AM,12:15 PM,16,10
SOC 61997 01,1144 331,14494,Linear Regression Lab,"Wurm,Gregory",F,3:30 PM,5:00 PM,12,9
AFST 13181 02,1144 332,20254,Soc Science University Seminar,"Pinderhughes,Dianne",TR,11:00 AM,12:15 PM,16,15
CLAS 32027 01,1144 332,20586,Sport/Society Discussion group,"Wyatt,Adam",F,11:30 AM,12:20 PM,16,16
EALC 31311 04,1144 332,21157,Third Year Chinese I Drill,"Liu,Jincheng",R,9:30 AM,10:20 AM,14,6
EALC 41411 01,1144 332,13678,Fourth Year Business Chinese I,"Ma,Congcong",T,9:30 AM,10:20 AM,15,4
EALJ 10002 01,1144 332,15383,Elementary Japanese II,"Kawamura,Yoko",MWF,12:50 PM,1:40 PM,15,9
ENGL 13186 06,1144 332,12424,Literature University Seminar,"Green,Barbara",TR,3:30 PM,4:45 PM,16,16
ENGL 30851 01,1144 332,14118,Poetry Writing,"McSweeney,Joyelle",MW,9:30 AM,10:45 AM,16,14
ENGL 90038 01,1144 332,12134,Graduate Poetry Workshop,"McSweeney,Joyelle",MW,11:00 AM,12:15 PM,12,7
PHIL 30305 01,1144 332,15479,The Examined Life,"Christy,Justin",MW,3:30 PM,4:45 PM,16,12
POLS 12200 04,1144 332,12409,IR Discussion,"Rosato,Susan",F,10:30 AM,11:20 AM,15,14
POLS 13181 09,1144 332,20482,Soc Science University Seminar,"Powell,Emilia Justyna",TR,12:30 PM,1:45 PM,16,14
EALC 11111 01,1144 333,13116,First Year Chinese I Drill,"Yin,Chengxu",MWF,9:25 AM,10:15 AM,16,6
EALC 11111 03,1144 333,13115,First Year Chinese I Drill,"Ma,Congcong",MWF,12:50 PM,1:40 PM,16,5
FYS 10101 87,1144 333,14026,Moreau First Year Experience,"Moasser,Bahram",M,5:05 PM,5:55 PM,19,19
PHIL 13195 02,1144 333,11400,Honors Philosophy Seminar,"Franks,Curtis",TR,12:30 PM,1:45 PM,18,18
ROSP 10102 03,1144 333,10234,Beginning Spanish II,"Febres Muñoz,Eduardo",MWF,10:30 AM,11:20 AM,18,18
ECON 33580 01,1144 334,20324,Sports Economics,"Raiha,Davin",TR,3:30 PM,4:45 PM,19,19
ECON 33580 02,1144 334,20323,Sports Economics,"Raiha,Davin",TR,5:05 PM,6:20 PM,18,17
